# T/Tc retro_corr S_topo
5.000000000000000000e-01 0.000000000000000000e+00 -9.999994999180667616e-07
5.035175879396984744e-01 4.947572153462371190e-04 -4.956343683376817581e-04
5.070351758793970598e-01 5.428380998877471849e-04 -5.436902735415321923e-04
5.105527638190955342e-01 6.744321473734985872e-04 -6.752041457412146647e-04
5.140703517587938975e-01 6.809436892115356505e-04 -6.817112712717074549e-04
5.175879396984924830e-01 7.586655659108279114e-04 -7.593771660738088836e-04
5.211055276381909573e-01 8.081739867200789370e-04 -8.088467819480837581e-04
5.246231155778894317e-01 7.540222286068038685e-04 -7.547373427117193626e-04
5.281407035175879061e-01 7.355201632358494574e-04 -7.362490653647711224e-04
5.316582914572864915e-01 8.725985092960777869e-04 -8.732171442087891412e-04
5.351758793969849659e-01 8.813540722861471118e-04 -8.819650267653250534e-04
5.386934673366833293e-01 8.980907230296075825e-04 -8.986867830663813721e-04
5.422110552763819147e-01 1.024361692888564124e-03 -1.024836368655523532e-03
5.457286432160803891e-01 1.044816530104490963e-03 -1.045270044979326306e-03
5.492462311557788635e-01 1.044047319418721278e-03 -1.044501637611106471e-03
5.527638190954774489e-01 1.176211873283427699e-03 -1.176519502710679727e-03
5.562814070351759232e-01 1.297781947832916775e-03 -1.297939260124858626e-03
5.597989949748743976e-01 1.322549857893246580e-03 -1.322674737871561623e-03
5.633165829145728720e-01 1.385763865412238324e-03 -1.385803196447713470e-03
5.668341708542713464e-01 1.439994347243820066e-03 -1.439957111203985646e-03
5.703517587939698208e-01 1.508599900553192139e-03 -1.508461600064877782e-03
5.738693467336682952e-01 1.579114903876669643e-03 -1.578867835822868673e-03
5.773869346733668806e-01 1.757287070683120770e-03 -1.756743093543222493e-03
5.809045226130653550e-01 1.803531759122163278e-03 -1.802905547759934462e-03
5.844221105527638294e-01 1.849777340432219455e-03 -1.849066762324491197e-03
5.879396984924623037e-01 1.972807360931271015e-03 -1.971861962655862242e-03
5.914572864321607781e-01 2.090139476284778083e-03 -2.088956087447173954e-03
5.949748743718592525e-01 2.319775957589241457e-03 -2.318087116394941354e-03
5.984924623115577269e-01 2.414363310664163764e-03 -2.412451009270734272e-03
6.020100502512563123e-01 2.511519456975051801e-03 -2.509368356993923674e-03
6.055276381909547867e-01 2.653670967086939943e-03 -2.651153551793518706e-03
6.090452261306532611e-01 2.731682678393550570e-03 -2.728955689324856233e-03
6.125628140703517355e-01 2.907109042259415320e-03 -2.903888673373974504e-03
6.160804020100502099e-01 3.028759790028232729e-03 -3.025179317324750480e-03
6.195979899497486842e-01 3.276993151314635047e-03 -3.272632243914971265e-03
6.231155778894472697e-01 3.452695456024045765e-03 -3.447745146308472172e-03
6.266331658291457440e-01 3.648343578837561722e-03 -3.642700880645979335e-03
6.301507537688442184e-01 3.821290026189559826e-03 -3.815003636894048322e-03
6.336683417085426928e-01 4.051628953263631053e-03 -4.044439171854208315e-03
6.371859296482411672e-01 4.270942004757671481e-03 -4.262843164453061079e-03
6.407035175879396416e-01 4.422744225232244468e-03 -4.413988230183158758e-03
6.442211055276382270e-01 4.690424897928940733e-03 -4.680454462079027510e-03
6.477386934673367014e-01 5.101821804090357106e-03 -5.089846530528246635e-03
6.512562814070351758e-01 5.208694775503543151e-03 -5.196171264252350333e-03
6.547738693467337612e-01 5.350153546222265188e-03 -5.336886996452560976e-03
6.582914572864321245e-01 5.766158670853662079e-03 -5.750592274792048174e-03
6.618090452261305989e-01 5.981254428167472048e-03 -5.964431788533484241e-03
6.653266331658290733e-01 6.330786032615973863e-03 -6.311824492590502843e-03
6.688442211055275477e-01 6.608870639072871207e-03 -6.588121232045544839e-03
6.723618090452261331e-01 6.895727940022381916e-03 -6.873054296672953534e-03
6.758793969849246075e-01 7.255622098247994575e-03 -7.230419501312425681e-03
6.793969849246230819e-01 7.702467144405135586e-03 -7.673946949689927459e-03
6.829145728643216673e-01 8.154181161620355917e-03 -8.122107365258150052e-03
6.864321608040200307e-01 8.657616516395714307e-03 -8.621345684443768032e-03
6.899497487437185050e-01 9.168038337026953102e-03 -9.127257901763588879e-03
6.934673366834170904e-01 9.584645864500633550e-03 -9.539995057643003984e-03
6.969849246231155648e-01 1.011609317760250870e-02 -1.006625797257026077e-02
7.005025125628140392e-01 1.046371639319160218e-02 -1.041034027339283324e-02
7.040201005025126246e-01 1.072798571100047615e-02 -1.067183853458352275e-02
7.075376884422110990e-01 1.129548808577626740e-02 -1.123315924693926195e-02
7.110552763819094624e-01 1.175212712216602319e-02 -1.168459557426624468e-02
7.145728643216080478e-01 1.218737182956177931e-02 -1.211469171521742036e-02
7.180904522613065222e-01 1.264387916904653915e-02 -1.256560029941262806e-02
7.216080402010049966e-01 1.318166303588460229e-02 -1.309652790135972314e-02
7.251256281407035820e-01 1.363210274757495344e-02 -1.354100808225290435e-02
7.286432160804020564e-01 1.414150637006428464e-02 -1.404343412082901046e-02
7.321608040201005307e-01 1.500587818255400170e-02 -1.489538900532587362e-02
7.356783919597990051e-01 1.549036159853076251e-02 -1.537259545217616909e-02
7.391959798994973685e-01 1.599043575184760230e-02 -1.586491974265996641e-02
7.427135678391959539e-01 1.683199022623894925e-02 -1.669288551453147057e-02
7.462311557788945393e-01 1.753011118043990360e-02 -1.737921396588608045e-02
7.497487437185929027e-01 1.812629201836523166e-02 -1.796495158673005327e-02
7.532663316582914881e-01 1.892688181187786312e-02 -1.875097824424768606e-02
7.567839195979899625e-01 1.949354034922299445e-02 -1.930695579412263288e-02
7.603015075376883258e-01 1.986506459933808089e-02 -1.967130945803455266e-02
7.638190954773869112e-01 2.088784645403157433e-02 -2.067366592405385506e-02
7.673366834170853856e-01 2.211366764372832763e-02 -2.187368474765458148e-02
7.708542713567838600e-01 2.293370485653320121e-02 -2.267565781273870110e-02
7.743718592964824454e-01 2.368581427104999443e-02 -2.341063439863362225e-02
7.778894472361809198e-01 2.469561633577281590e-02 -2.439658471578273410e-02
7.814070351758793942e-01 2.534038974644146902e-02 -2.502562030440731722e-02
7.849246231155778686e-01 2.674937052092543968e-02 -2.639883472217977034e-02
7.884422110552763430e-01 2.761552509876641359e-02 -2.724206738038746980e-02
