# T/Tc rho_frag frag_eft
2.999999999999999889e-01 4.899999999999999356e-01 4.899999999999999356e-01
3.070707070707070496e-01 4.800905672755993447e-01 4.800301371591457755e-01
3.141414141414141659e-01 4.701651723261769389e-01 4.699284640890082354e-01
3.212121212121211711e-01 4.602311075376181448e-01 4.597098217953494714e-01
3.282828282828282873e-01 4.502955392335262763e-01 4.493889486297819036e-01
3.353535353535353480e-01 4.403655047599804861e-01 4.389804565844744322e-01
3.424242424242424088e-01 4.304479096606426691e-01 4.284988081974453467e-01
3.494949494949494695e-01 4.205495249431717708e-01 4.179582940994317486e-01
3.565656565656565857e-01 4.106769844378523326e-01 4.073730112319653429e-01
3.636363636363636465e-01 4.008367822493033028e-01 3.967568417649188772e-01
3.707070707070707072e-01 3.910352703020917864e-01 3.861234327403709754e-01
3.777777777777777679e-01 3.812786559810227849e-01 3.754861764681857728e-01
3.848484848484848841e-01 3.715729998668400036e-01 3.648581916972420403e-01
3.919191919191918894e-01 3.619242135680243999e-01 3.542523055847422442e-01
3.989898989898989501e-01 3.523380576493277960e-01 3.436810364845021004e-01
4.060606060606060663e-01 3.428201396576416871e-01 3.331565775735884083e-01
4.131313131313131271e-01 3.333759122457457535e-01 3.226907813350952114e-01
4.202020202020202433e-01 3.240106713944448935e-01 3.122951449132778667e-01
4.272727272727272485e-01 3.147295547335487997e-01 3.019807963556593866e-01
4.343434343434343647e-01 3.055375399621074739e-01 2.917584817551246990e-01
4.414141414141414255e-01 2.964394433682692731e-01 2.816385533033953226e-01
4.484848484848484307e-01 2.874399184490787906e-01 2.716309582656569188e-01
4.555555555555555469e-01 2.785434546304897396e-01 2.617452288844857033e-01
4.626262626262626076e-01 2.697543760878192143e-01 2.519904732195851760e-01
4.696969696969697239e-01 2.610768406668247943e-01 2.423753669282266987e-01
4.767676767676767291e-01 2.525148389055379416e-01 2.329081459896495399e-01
4.838383838383838453e-01 2.440721931569426184e-01 2.235966003750688436e-01
4.909090909090909061e-01 2.357525568125428683e-01 2.144480686633228050e-01
4.979797979797979113e-01 2.275594136268136169e-01 2.054694336005922217e-01
5.050505050505049720e-01 2.194960771424852852e-01 1.966671186010376382e-01
5.121212121212120882e-01 2.115656902165681807e-01 1.880470851836319457e-01
5.191919191919192045e-01 2.037712246469741417e-01 1.796148313389082096e-01
5.262626262626263207e-01 1.961154808995479171e-01 1.713753908178112795e-01
5.333333333333333259e-01 1.886010879352777447e-01 1.633333333333333304e-01
5.404040404040404422e-01 1.812305031374054631e-01 1.554927656641233447e-01
5.474747474747474474e-01 1.740060123381158563e-01 1.478573336478060385e-01
5.545454545454544526e-01 1.669297299444352789e-01 1.404302250503111638e-01
5.616161616161615688e-01 1.600035991629293053e-01 1.332141732961202862e-01
5.686868686868686851e-01 1.532293923227425470e-01 1.262114620429672374e-01
5.757575757575758013e-01 1.466087112964791217e-01 1.194239305832023174e-01
5.828282828282829175e-01 1.401429880183808485e-01 1.128529800527336285e-01
5.898989898989899228e-01 1.338334850992145830e-01 1.064995804272066832e-01
5.969696969696969280e-01 1.276812965372375597e-01 1.003642782838671393e-01
6.040404040404039332e-01 1.216873485245674735e-01 9.444720530638178735e-02
6.111111111111110494e-01 1.158524003482405557e-01 8.874808750876482522e-02
6.181818181818181657e-01 1.101770453851993042e-01 8.326625515347417517e-02
6.252525252525252819e-01 1.046617121904097059e-01 7.800065333770792031e-02
6.323232323232323981e-01 9.930666567726607885e-02 7.294985322094529878e-02
6.393939393939394034e-01 9.411200838940217417e-02 6.811206386584027495e-02
6.464646464646464086e-01 8.907768186298412050e-02 6.348514466368943010e-02
